title,link,start_date,end_date,hours,ages,Indoor/Outdoor,Category,website,location,phone,description,cost
ART & CHAMPAGNE at Davio's Lynnfield,https://www.bostoncentral.com/events/food/p82147.php,04/16/2025,04/16/2025,4:00 pm - 6:00 pm,Adults,Indoor,Food Fun,https://www.bostoncentral.com/fwd.php?pgx=ratncznup-gen%2Ffgarir%2Fqyrvsaaly%2Fzbp.fbvinq%2F%2F%3Afcggu,1250 MARKET ST LYNNFIELD MA,N/A,"ART & CHAMPAGNE at Davio's Lynnfield Immerse yourself in an evening of art, elegance, and exquisite flavors at Davio’s Lynnfield. Wednesday, April 16, 2025 4:00 PM – 6:30 PM $85 per person (Check HERE for tickets!) Join Fashion Illustrator & Visual Artist Annie Naranian for an exclusive hands-on workshop where you'll master your drawing and painting skills while enjoying: Champagne tasting provided by Veuve Clicquot and Chef-selected appetizers, including: - Charcuterie Cups — Marinated Vegetables, Mixed Olives, Cured Italian Meats, Imported Cheeses - Passed Appetizers - Parmigiano Fries, Truffle Aioli - Tomato, Mozzarella Skewer - Spice Rubbed Tuna, Pickled Relish, Wonton Wasabi Chip, Aioli - Davio’s Philly Cheese Steak Spring Rolls® with Spicy Ketchup & Spicy Mayo - Chicken Parm Spring Rolls® with Marinara - Buffalo Chicken Spring Rolls® with Blue Cheese",$85
Facilitation Lab Boston: Hands-On Practice with Jake Knapp & Voltage Control,https://www.bostoncentral.com/events/learn/p82213.php,04/16/2025,04/16/2025,06:00 PM - 08:00 PM,Adults,Indoor,Learn Something,https://www.bostoncentral.com/fwd.php?pgx=%2Fabgfbo%2Fony-abvgngvyvpns%2Fchgrrz%2Ffgarir%2Fzbp.ybegabprtngybi%2F%2F%3Afcggu,129 SOUTH ST BOSTON MA,5127669125,"Join us for an interactive session at Facilitation Lab Boston! This month, we’ll explore Click by Jake Knapp, practicing the “Differentiators” exercise from the Foundation Sprint—a powerful method to help teams define what sets their projects apart. Facilitators Ashley Morgan and Danielle Kayal will guide us through real-time role-play and hands-on exercises, using our tried-and-tested Practice Playground format. Whether you’re an experienced facilitator or just getting started, this is your chance to experiment, refine your skills, and get constructive peer feedback in a supportive environment. As a special bonus, we’re giving away two copies of Click! Reserve your spot today and take your facilitation skills to the next level. WEBSITE ↑ top voltagecontrol.com/events/meetup/facilitation-lab/boston/ LOCATION ↑ top 129 South St, Boston, MA, 02111 map Phone: 5127669125 RELATED LINKS ↑ top Profiles Learn Something Localities Boston Events Facilitation Lab Boston: Hands-On Practice with Ja... , 4/16/25-4/16/25 Info changes frequently. We cannot warrant it.  Verify with Facilitation Lab Boston: Hands-On Practice with Jake Knapp & Voltage Control before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
Easter Jumperoo,https://www.bostoncentral.com/events/special/p82383.php,04/16/2025,04/16/2025,10:00 am - 12:00 pm,"Infants, Toddlers, Kids, Adults",Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=%2FnTlhl5OU61%2Frenuf%2Fzbp.xbborpns.jjj%2F%2F%3Afcggu,"URBAN AIR ADVENTURE PARK, 189 MECHANIC STREET BELLINGHAM MA",N/A,"🐰You and your little bunnies don't want to miss our special Easter Jumperoo!! Perfect for kiddos 5 and under with their parents so they can hunt eggs and jump with other kids their age! Come on in for the egg hunt and meet Urbie Bunny!! This Wednesday, March 27th 10am - noon $11.99 per person (parents are free)",$11.99 per person (parents are free)
Urbie's Easter Egg Hunt,https://www.bostoncentral.com/events/special/p82385.php,04/16/2025,04/16/2025,4:00 pm - 8:00 pm,"Toddlers, Kids, Teens, Adults",Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=%2F7414723854210461%2Ffgarir%2Fzbp.xbborpns.jjj%2F%2F%3Afcggu,"URBAN AIR ADVENTURE PARK, 189 MECHANIC STREET BELLINGHAM MA",N/A,"🐰 Our Mega Easter Egg Hunt is back! 🐣 Doors Open at 4:00pm 🐰 Arrive Early to participate in the Easter Egg Hunt! Mega Easter Egg Hunt tickets are a flat $26 and includes your Ultimate Attractions Pass! 🐣 Hunt for over 5000 colorful Easter Eggs! It's going to be a fun and festive time for all! Eggs will contain candy, prizes and tickets for free ICEEs! ALSO 🏆Find one of 3 GOLDEN EGGS!!!🏆 2 with a $100 gift card 1 with an Ultimate Party for 10! ****** Mega Hunt details: *Tickets are $26 for all ages/all jumpers *Memberships accepted for this event *Socks not included *Parent pass price (for parents that want to jump) is $26 for this event. We can't wait for another fun event!",$26 for all ages/all jumpers
Patriots Day in Lexington,https://www.bostoncentral.com/events/patriots-day-lexington-events/p72413.php,04/17/2025,04/22/2025,9:00 AM - 4:00 PM,"Infants, Toddlers, Kids, Teens, Adults","Indoor, Outdoor",Seasonal Fun,https://www.bostoncentral.com/fwd.php?pgx=abgtavkrY-av-lnQ-fgbvegnC%2F158%2Fibt.nzabgtavkry.jjj%2F%2F%3Afcggu,LEXINGTON COMMON LEXINGTON MA,N/A,"2025 marks 250 years since the Battle of Lexington and the start of the American Revolution. The traditional Patriots' Day events will still take place, including the sunrise reenactment on the historic Lexington Battle Green, the annual 5-mile run, and the afternoon parade; however, all of these events will occur on Saturday, April 19th, 2025. It's time to put on your tricorn hat, to practice playing the fife, to revisit your history.  Patriots’ Day weekend commemorates the opening battles of the American Revolutionary War. April 17 9:00 a.m. | Lexington Kick Off Press Conference 12:00 p.m. | Ken Burns, The American Revolution 7:00 p.m. | Patriots’ Day Awards Ceremony April 18 10:00 p.m. | Reenactment of Paul Revere’s Midnight Ride April 19 5:15 a.m. | Reenactment of the Battle of Lexington 5:30 a.m. | Pancake Breakfasts 8:00 a.m. | 111th Patriots’ Day 5-Mile Road Race 9:00 a.m. | USS Lexington Ceremony 10:00 a.m. | Daughters of the American Revolution Tree Dedication 11:00 a.m. | Battle Green Rededication 2:00 p.m. | Patriots’ Day Parade 7:00 p.m. | Lexington Bicentennial Band Concert April 21 9:30 a.m. | Ye Ole Burial Ground Ceremony 10:00 a.m. | Revolutionary Scavenger Hunt 2025 10:00 a.m. | Daughters of the American Revolution Wreath Laying Ceremony 11:00 a.m. | Patriots’ Day Living History at Buckman Tavern 12:30 p.m. | Arrival of Paul Revere & William Dawes on Horseback from Boston April 22 11:00 a.m. | Naturalization Ceremony It is a joyful celebration, a street theater experience, and you get the glimmerings of what it must have been like on that chilly April morning as the Red Coats advanced on the Common. There are battles, concerts, tours, Paul Revere, reenactments, road races, pancake breakfasts, ceremonies, culminating in the BIG PARADE. For more information, visit patriotsday.com Looking for more Patriot's Day Events nearby?  Visit our website for lots more and use the search term 'Patriot's Day'; or visit our handy guide to Boston Patriots Day Events . WEBSITE ↑ top www.lexingtonma.gov/851/Patriots-Day-in-Lexington LOCATION ↑ top Lexington Common, Lexington, MA, 02420 map Lexington Center, Lexington, MA 02420 TIPS ↑ top Looking for more fun things to do?  Check out our Boston April Vacation Week guide for lots more great ideas on things to do with the kids this week. RELATED LINKS ↑ top Profiles Seasonal Fun School Vacation Localities Lexington Events Patriots Day in Lexington , 4/17/25-4/22/25 Info changes frequently. We cannot warrant it.  Verify with Patriots Day in Lexington before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
Memorial Drive Recreation Sundays 2025,https://www.bostoncentral.com/events/races/p69768.php,04/17/2025,11/09/2025,11:00am - 7:00pm,"Infants, Toddlers, Kids, Teens, Adults",Outdoor,Races/Walks,https://www.bostoncentral.com/fwd.php?pgx=riveQynvebzrZ%2FabvgngebcfaneGqaNfgrregF%2Fibt.nzrtqveoznp.jjj%2F%2F%3Afcggu,RIVERBEND PARK MEMORIAL DRIVE CAMBRIDGE MA,N/A,"Bring your bike, inline skates, running shoes, strollers or walking feet to take advantage of the unique access to this normally busy road with views of the Charles. Fun for all ages, families & visitors. On April 3, 2023, the Department of Conservation and Recreation announced that Riverbend Park will open on Sundays from 11:00am - 7:00pm from Sunday, April 27 to Sunday, November 9, 2025. This means that the portion of Memorial Drive between Western Avenue and Gerry's Landing Road will close to cars so that pedestrians, cyclists and others can enjoy the riverfront roadway without cars. Traffic patterns will be clearly marked. Memorial Drive is operated and controlled by DCR . WEBSITE ↑ top www.cambridgema.gov/StreetsAndTransportation/MemorialDrive LOCATION ↑ top Riverbend Park Memorial Drive, Cambridge, MA, 02138 map RELATED LINKS ↑ top Profiles Races/Walks Localities Cambridge Events Memorial Drive Recreation Sundays 2025 , 4/17/25-11/9/25 Info changes frequently. We cannot warrant it.  Verify with Memorial Drive Recreation Sundays 2025 before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
Night in Bloom at Boston Public Market,https://www.bostoncentral.com/events/adult/p81824.php,04/17/2025,04/17/2025,7:00 PM - 10:00 PM,Adults,Indoor,Adults (21+),https://www.bostoncentral.com/fwd.php?pgx=ryvsbectebcbfqor%3Dssn%3F9918498482621-fgrxpvg-grxenz-pvyohc-abgfbo-gn-zbbyo-av-gutva%2Fr%2Fzbp.rgveogarir.jjj%2F%2F%3Afcggu,100 HANOVER ST BOSTON MA,N/A,"Night in Bloom at Boston Public Market Join us for our second seasonal, 21+ night market as we celebrate spring in style at the Boston Public Market! 🌼 Spring Decor Enjoy the bright, springy atmosphere as you stroll through the Market 🎶 Music Groove the winter blues away to music from a local DJ 🍹 Seasonal Sips Your ticket includes one cocktail, beer, or wine from The Pine Bar or a hard cider from Red Apple Farm’s Hard Cider Bar. Cash bar available 🍴 Food Specials Satisfy your cravings with late-night specials available for purchase from our local food vendors 🛍️ Late Night Shopping Explore unique local products, handmade gifts, and art! Additionally, your ticket includes a $5 voucher to redeem next time you visit us (limit first 200 attendees) 🌈 Get Creative Sit down and make something special with your own hands with help from our artisanal vendors Unwind after work, connect with friends and family, or bring a date! Grab your ticket for just $20 and join us for an after hours 21+ party at the Boston Public Market. Secure your spot today and let’s spring forward together!",$23.18
SlapSchtick Presents: Pharaoh Bueller's Day Off,https://www.bostoncentral.com/events/performances/p81959.php,04/17/2025,04/17/2025,7:00 pm to 8:30 pm,Teens,Indoor,Performances,https://www.bostoncentral.com/fwd.php?pgx=76s37371o962-7058-no44-29np-q5927n49%2Frhari%2Fzbp.kvgzhylfn%2F%2F%3Afcggu,74 WARRENTON ST BOSTON MA,6172631221,"Passover! Come for the brisket*, stay for the comedic takes on everyone's favorite Exodus story. Pharaoh Bueller's Day Off is a 90 minute experience full of cutting edge improv structures and brilliantly funny sketches that everyone will enjoy regardless of religion or ideology! The show is on the sixth night of Passover, Thursday April 17th at 7:00pm. What, you have something better to do at 7:00pm on a night of the holiday that no one ever schedules their Seder on? Moshe's granddaughter sees all of our shows, plus your ailing Bubbe already bought tickets for herself so the least you could do is come keep her company! Grab your tickets before they're gone!! *Brisket will not be provided, sorry! IMPORTANT TO KNOW: Lil' Chuck has a full cocktail bar open from 6PM until 1 hour after the end of the performance. 21+ to drink with valid ID or US Passport ADA Accessible",$25.00
YPMC FREE Concert,https://www.bostoncentral.com/events/music/p82019.php,04/17/2025,04/17/2025,7:00 PM - 8:00 PM,"Infants, Toddlers, Kids, Teens, Adults",Indoor,Music & Concerts,https://www.bostoncentral.com/fwd.php?pgx=35822141%2Fgarir%2Fzbp.ynpovy.leneovyravyxbbeo%2F%2F%3Afcggu,361 WASHINGTON ST BROOKLINE MA,N/A,"The Young Professional Musicians Collective (YPMC) is excited to share their very first concert with you in partnership with the Public Library of Brookline. This one-hour long concert will feature the debut of a brand new composition by a local student of Berklee College of Music, as well as a variety of chamber pieces by renowned composers such as Wolfgang Amadeus Mozart and Igor Stravinsky. The YPMC is a new organization created to empower college-aged and recently graduated professional musicians through performance experience, while providing accessible live music to the community. We hope to see you at our debut performance!",Free
Math Festival at Acera School,https://www.bostoncentral.com/events/learn/p82053.php,04/17/2025,04/17/2025,6:30pm to 8pm,"Kids, Adults",Indoor,Learn Something,https://www.bostoncentral.com/fwd.php?pgx=%2Fteb.ybbupfnerpn.jjj%2F%2F%3Afcggu,5 LOWELL AVENUE WINCHESTER MA,7817293489,"Math Festival at Acera School Apr 17 (Thursday) 6:30pm to 8pm Math has no ceiling - just infinite possibilities! Get ready to explore the power and beauty of mathematics! This free event for students in Grades 2-5 invites families to dive into the world of mathematical discovery - where patterns, puzzles, and strategy games transform numbers into adventure. Work together at interactive stations, tackle exciting math challenges, and experience the dynamic, curiosity-driven learning environment at Acera School. WEBSITE ↑ top www.aceraschool.org/ LOCATION ↑ top 5 Lowell Avenue, Winchester, MA, 01890 map Phone: 7817293489 RELATED LINKS ↑ top Profiles Learn Something Localities Winchester Events Math Festival at Acera School , 4/17/25-4/17/25 Info changes frequently. We cannot warrant it.  Verify with Math Festival at Acera School before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
Transforming Lives Gala 2025,https://www.bostoncentral.com/events/communityaction/p82074.php,04/17/2025,04/17/2025,6:00 PM - 9:00 PM,Adults,Indoor,Community Action,https://www.bostoncentral.com/fwd.php?pgx=5202-nynt-frivy-tavzebsfaneg%2Fnfnp-abgfbo%2Fgarir%2Fteb.lyrivyrivt.rehprf%2F%2F%3Afcggu,100 W 2ND ST BOSTON MA,N/A,"Transforming Lives Gala 2025 Join us for an unforgettable evening at the Transforming Lives Gala 2025, supporting Boston CASA’s mission to advocate for children in foster care. This inspiring event brings together community leaders, child advocates, and supporters for a night of celebration, impact, and giving. Enjoy an elegant dinner, live entertainment, and heartfelt stories of resilience while helping to create brighter futures for children in need. We are honored to welcome Congresswoman Ayanna Pressley (MA-07) as our keynote speaker. A dedicated activist, legislator, and the first woman of color elected to Congress from Massachusetts, Congresswoman Pressley has been a powerful advocate for equity, justice, and ensuring that those closest to the pain are closest to the power.",$200
Evening Flow: Yoga for Everyone at New England Botanic Garden,https://www.bostoncentral.com/events/health/p82114.php,04/17/2025,04/17/2025,6:00 PM - 7:15 PM,Adults,Indoor,Health & Wellness,https://www.bostoncentral.com/fwd.php?pgx=kcfn.enqarynps2%25344n3%25teb.tora.rfnupehcs2%25s2%25n3%25fcggu%3Dynp%2654541%3Dqvc%3Fkcfn.abvgnphqRabegnC%2Fteb.tora.rfnupehc%2F%2F%3Afcggu,11 FRENCH DRIVE BOYLSTON MA,508,"Experience an all-levels yoga flow in our lush subtropical conservatory, a serene and welcoming space for movement, mindfulness, and connection. This inclusive class is open to all, embracing diverse identities and experiences. Please bring your own yoga mat and any props you prefer; we do have a limited number of mats available to borrow. As temperatures may vary, we recommend dressing in layers and bringing a blanket for added comfort. Meet Your Instructor: Harper Wise Harper started practicing yoga with their mom in middle school in Connecticut, where he grew up. He returned to the practice almost a decade and a wrist injury later, primarily as a way to reconnect to their body after working as a bartender. Yoga has become absolutely crucial for their physical, emotional, and spiritual growth and wellbeing. Harper completed the 200-hour teacher training at Hot Power Yoga Center in Worcester and teaches there weekly.",$15 Member Adult | $18 Adult (includes admission to the Garden on the same day of the event)
